22220001,Adolphe Menjou,m
22220002,Adrien Brody,m
22220003,Alec Guinness,m
22220004,Alexander Granach,m
22220005,Alexandre Rodrigues,m
22220006,Alfred Abel,m
22220007,Anna Massey,f
22220008,Anthony Perkins,m
22220009,Ben Chaplin,m
22220010,Bert Lahr,m
22220011,Bill Murray,m
22220012,Brian Cox,m
22220013,Brigitte Helm,f
22220014,Britt Ekland,f
22220015,Bruce Cabot,m
22220016,Burt Reynolds,m
22220017,Carl Boehm,m
22220018,Carol Kane,m
22220019,Carrie Fisher,f
22220020,Cary Grant,m
22220021,Cecil Parker,m
22220022,Celia Johnson,m
22220023,Chang Chen,m
22220024,Charles Bronson,m
22220025,Charles Vanel,m
22220026,Chico Marx,m
22220027,Chow Yun-Fat,m
22220028,Christopher Lee,m
22220029,Claire Bloom,f
22220030,Claude Rains,f
22220031,Claudia Cardinale ,f
22220032,Clytie Jessop,f
22220033,Cyril Raymond,f
22220034,Daniel Richter,m
22220035,Danny Lloyd,m
22220036,Daveigh Chase,m
22220037,David Prowse,m
22220038,Deborah Kerr,f
22220039,Dee Wallace,f
22220040,Dennis Hopper,m
22220041,Dennis Price,m
22220042,Diane Keaton,Fm
22220043,Donald Sutherland,m
22220044,Donatas Banionis,f
22220045,Drew Barrymore,f
22220046,Edward Woodward,m
22220047,Edwin Neal,m
22220048,Ellen Burstyn,f
22220049,Eric Idle,m
22220050,Ernest B Schoedsack,m
22220051,Ernest Borgnine,m
22220052,Esmond Knight,m
22220053,Ethan Hawke ,m
22220054,Eva Marie Saint,f
22220055,Fay Wray,f
22220056,Folco Lulli,f
22220057,Frank Morgan,m
22220058,Frank Reicher,m
22220059,Frederic Forrest,m
22220060,"Gary Lockwood, ",m
22220061,George C Scott,m
22220062,George Raft,m
22220063,Graham Chapman,m
22220064,Greenwood,f
22220065,Greta Schroder,f
22220066,Groucho Marx,m
22220067,Gustav Frohlich,f
22220068,Gustav Fruhlich,f
22220069,Gustav von Wangenheim,f
22220070,Harpo Marx,m
22220071,Harrison Ford,m
22220072,Harrison Ford,m
22220073,Henriette Gérard,f
22220074,"Henriette Gerard, ",m
22220075,Henrik Dahl,f
22220076,Henry Fonda,f
22220077,Henry Thomas,m
22220078,Herbert Lom,f
22220079,Hilary Mason,m
22220080,Hiroyuki Sanada,m
22220081,Humphrey Bogart,m
22220082,Ian Holm,f
22220083,Ingrid Bergman,m
22220084,Jack Haley,m
22220085,Jack Lemmon,m
22220086,Jack Nicholson,m
22220087,James Flavin,m
22220088,James Mason,m
22220089,Janet Leigh,m
22220090,Jason Marsden,m
22220091,Jason Marsdon,m
22220092,Jason Robards,m
22220093,Jason Schwartzman,m
22220094,Jessie Royce Landis,m
22220095,Jim Siedow,m
22220096,Joe E Brown,m
22220097,John Armstrong,m
22220098,John Cassavetes,m
22220099,John Cleese,m
22220100,John Hurt,m
22220101,Jon Voight,m
22220102,Judy Garland,f
22220103,Julian West ,f
22220104,Julie Christie,f
22220105,Julie Delpy,f
22220106,Julie Harris,f
22220107,Juri Jarvet,f
22220108,Kare Hedebrant,f
22220109,Karin Bergquist,f
22220110,Karl Bohm,f
22220111,Keir Dullea,f
22220112,Ken Davitian,f
22220113,Kirk Douglas,f
22220114,Kristen Miller,f
22220115,Laurence Fishburne,f
22220116,Leandro Firmino da Hora,f
22220117,Leo G Carroll,f
22220118,Lina Leandersson,f
22220119,Linda Blair,f
22220120,Margaret Dumont ,m
22220121,Mari Natsuki,f
22220122,Marilyn Burns,m
22220123,Marilyn Monroe,m
22220124,Mark Hamill,m
22220125,Marlon Brando,m
22220126,Martin Landa,m
22220127,Martin Sheen,m
22220128,Matheus Nachtergaele,m
22220129,Matt Stone,m
22220130,Max Schreck,m
22220131,Max von Sydow,m
22220132,Maxine Audley,m
22220133,Melinda Dillon,m
22220134,Mia Farrow,m
22220135,Michael Palin,m
22220136,Michael Redgrave,m
22220137,Michelle Yeoh,m
22220138,Miyu Irino,m
22220139,Moira Shearer,m
22220140,Nanako Matsushima,m
22220141,Nataly Bondarchuk,m
22220142,Natalya Bondarchuk,m
22220143,Ned Beatty,m
22220144,Nick Nolte,m
22220145,Noble Jhonson,m
22220146,Olivia Williams,m
22220147,Pamela Anderson,m
22220148,Paul A Partain,m
22220149,Paul Henreid,m
22220150,Paul Simon,m
22220151,Per Ragnar,m
22220152,Peter Carlberg,m
22220153,Peter Coyote,m
22220154,Peter Cushing,m
22220155,Peter Mayhew,m
22220156,Peter Sellers,m
22220157,Peter Wyngarde,m
22220158,Phelipe Haagensen,m
22220159,Ralph Meeker,m
22220160,Ray Bolger,m
22220161,Richard Dreyfuss,m
22220162,Richard Johnson,m
22220163,Rikiya Otaka,m
22220164,Robert Armstrong,m
22220165,Robert Duvall,m
22220166,Robert Ryan,m
22220167,Rpobert Duvall,m
22220168,Rumi Hiragi,m
22220169,Rutger Hauer,m
22220170,Ruth Gordon,f
22220171,Sacha Baron Cohen,m
22220172,Sean Penn,f
22220173,Sean Young,f
22220174,Shelley Duval,f
22220175,Sigourney Weaver,f
22220176,Stanley Holloway,m
22220177,Sterling Hayden,m
22220178,Suzanne Pleshette,f
22220179,Sybille Schmitz,f
22220180,Terry Gilliam,m
22220181,Terry Jones,m
22220182,Tom Skerritt,m
22220183,Tony Curtis,m
22220184,Tony Roberts,m
22220185,Trevor Howard,m
22220186,Trey Parker,m
22220187,Vera Miles,f
22220188,William Holden,m
22220189,William Sylvester,m
22220190,Woody Allen,m
22220191,Yves Montand,m
22220192,Zeppo Marx,m
22220193,Zhang Ziyi,f
